City,County,Population [1][2](2010 census),Incorporationdate,FIPS code(subdivision),FIPS code (place)
Albany,Albany,"97,856",1686,3600101000,3601000
Amsterdam,Montgomery,"18,620",1830,3605702066,3602066
Auburn,Cayuga,"27,687",1848,3601103078,3603078
Batavia,Genesee,"15,465",1915,3603704715,3604715
Beacon,Dutchess,"15,541",1913,3602705100,3605100
Binghamton,Broome,"47,376",1867,3600706607,3606607
Buffalo,Erie,"261,310",1832,3602911000,3611000
Canandaigua,Ontario,"10,545",1913,3606912144,3612144
Cohoes,Albany,"16,168",1869,3600116749,3616749
Corning,Steuben,"11,183",1890,3610118256,3618256
Cortland,Cortland,"19,204",1900,3602318388,3618388
Dunkirk,Chautauqua,"12,563",1888,3601321105,3621105
Elmira,Chemung,"29,200",1864,3601524229,3624229
Fulton,Oswego,"11,896",1902,3607527815,3627815
Geneva,OntarioSeneca[A],"13,261",1898,36069286403609928640,3628640
Glen Cove,Nassau,"26,964",1918,3605929113,3629113
Glens Falls,Warren,"14,700",1908,3611329333,3629333
Gloversville,Fulton,"15,665",1890,3603529443,3629443
Hornell,Steuben,"8,563",1888,3610135672,3635672
Hudson,Columbia,"6,713",1785,3602135969,3635969
Ithaca,Tompkins,"30,014",1888,3610938077,3638077
Jamestown,Chautauqua,"31,146",1886,3601338264,3638264
Johnstown,Fulton,"8,743",1895,3603538781,3638781
Kingston,Ulster,"23,893",1872,3611139727,3639727
Lackawanna,Erie,"18,141",1909,3602940189,3640189
Little Falls,Herkimer,"4,946",1895,3604342741,3642741
Lockport,Niagara,"21,165",1865,3606343082,3643082
Long Beach,Nassau,"33,275",1922,3605943335,3643335
Mechanicville,Saratoga,"5,196",1915,3609146360,3646360
Middletown,Orange,"28,086",1888,3607147042,3647042
Mount Vernon,Westchester,"67,292",1892,3611949121,3649121
New Rochelle,Westchester,"77,062",1889,3611950617,3650617
New York,"Bronx, Kings, New York, Queens, and Richmond","8,175,133",1653[B],,3651000
Newburgh,Orange,"28,866",1865,3607150034,3650034
Niagara Falls,Niagara,"50,193",1892,3606351055,3651055
North Tonawanda,Niagara,"31,568",1897,3606353682,3653682
Norwich,Chenango,"7,190",1914,3601753979,3653979
Ogdensburg,St. Lawrence,"11,128",1868,3608954485,3654485
Olean,Cattaraugus,"14,452",1854,3600954716,3654716
Oneida,Madison,"11,393",1901,3605354837,3654837
Oneonta,Otsego,"13,901",1908,3607754881,3654881
Oswego,Oswego,"18,142",1848,3607555574,3655574
Peekskill,Westchester,"23,583",1940,3611956979,3656979
Plattsburgh,Clinton,"19,989",1902,3601958574,3658574
Port Jervis,Orange,"8,828",1907,3607159388,3659388
Poughkeepsie,Dutchess,"32,736",1854,3602759641,3659641
Rensselaer,Rensselaer,"9,392",1897,3608361148,3661148
Rochester,Monroe,"210,565",1834,3605563000,3663000
Rome,Oneida,"33,725",1870,3606563418,3663418
Rye,Westchester,"15,720",1942,3611964309,3664309
Salamanca,Cattaraugus,"5,815",1913,3600964749,3664749
Saratoga Springs,Saratoga,"26,586",1915,3609165255,3665255
Schenectady,Schenectady,"66,135",1798,3609365508,3665508
Sherrill,Oneida,"3,071",1916,3606566993,3666993
Syracuse,Onondaga,"145,170",1848,3606773000,3673000
Tonawanda,Erie,"15,130",1904,3602974166,3674166
Troy,Rensselaer,"50,129",1816,3608375484,3675484
Utica,Oneida,"62,235",1832,3606576540,3676540
Watertown,Jefferson,"27,023",1869,3604578608,3678608
Watervliet,Albany,"10,254",1896,3600178674,3678674
White Plains,Westchester,"56,853",1916,3611981677,3681677
Yonkers,Westchester,"195,976",1872,3611984000,3684000
